"","ID","RegionName","NVotes","Leave","Residents","Households","AdultMeanAge","White","Owned","OwnedOutright","SocialRent","PrivateRent","Students","Unemp","UnempRate_EA","HigherOccup","Density","Deprived","MultiDepriv","Proportion","Vote","Age_18to44","Age_45_above","non_white","high_education_level","low_education_level"
"688",688,"L",7143,3243,17148,7136,44.2,55.4,48.2,13.8,26.8,22.6,6.2,5.3,7.3,35.4,48.3,62.1,26.1,0.454010919781604,"Remain",42.7,32.4,47.8,30.1,19.1
"689",689,"EE",4437,1968,6530,2604,53.1,90.9,89.4,39.2,1.8,7.8,3.1,2.4,3.4,48.5,5.9,48.9,14.4,0.443542934415145,"Remain",26.4,53.2,11.7,34.9,16.8
"690",690,"L",6504,2014,14700,6730,37.4,65.5,19,7.3,50.8,27.9,22.6,5.1,7.8,50.9,138.4,67.8,28.3,0.309655596555966,"Remain",61.6,23.7,33,45.2,15.8
"691",691,"L",5138,1344,9839,4293,41,77.8,53.6,17,11,33.9,3.9,3.1,3.8,63.3,93.9,41.5,14.5,0.26158038147139,"Remain",56,25.8,24.8,59.6,9.2
"692",692,"L",6579,2761,18730,7058,41.2,31.4,41.1,10.6,26.4,30.1,9.1,6.8,9.7,26,72,70.9,33.1,0.419668642650859,"Remain",45,26.5,82.4,26.9,20.2
"693",693,"L",5240,1587,9778,4194,46.4,80.2,62.9,25.1,9.7,26.3,3.6,2.8,3.7,59.3,54.1,44.3,13.6,0.302862595419847,"Remain",43.1,36.1,21.3,54.3,9.7
"695",695,"EE",1914,826,2858,1220,46.9,94.3,85.5,22.8,3,10.1,2.7,2.3,2.8,47.7,41.8,37.4,10.9,0.431556948798328,"Remain",35.9,41.5,7.2,36.5,11
"697",697,"EE",6009,1881,10447,5403,44.8,91.4,44.9,21.1,20.8,32.4,13.3,3.7,5.3,47.1,54.4,51.6,21.7,0.313030454318522,"Remain",48.2,38.9,9.3,42.1,14.9
"700",700,"WM",7915,3926,13051,5375,47.1,85.8,82.7,29,1.5,14.5,3.1,2.8,3.6,52.8,10,40,10.7,0.496020214782059,"Remain",37.3,41.4,21.7,39.7,12.1
"702",702,"WM",3215,1425,5329,2268,50.3,92.3,78.7,33.3,6.5,13.7,3.4,2.9,4,45.1,28.7,46.4,16.6,0.443234836702955,"Remain",32.7,45.1,11.2,37.8,17.8
"704",704,"Y",5444,2058,20066,5628,40.3,14.9,62.4,32.9,18.1,16.6,8.1,8.8,17.1,12.2,59,83.6,51.2,0.378030859662013,"Remain",44.4,21.8,146.8,13.4,40.9
"706",706,"SE",8047,3097,13708,6385,51.5,90.2,73.5,34.3,3.2,21.3,5.6,3,4.3,48.1,13.8,50.9,16.7,0.384863924443892,"Remain",32.1,50.7,9.2,38.1,15
"711",711,"EM",3591,1641,13376,4935,31.9,58.4,16.2,5.7,33.5,48.4,45.4,6.7,13.3,20.7,78.3,70.3,35,0.456975772765246,"Remain",69.5,16.7,50.9,19.1,16.1
"719",719,"EM",7050,2856,15912,7403,43.8,74.2,50.3,19.1,20.6,27.5,8,6.4,9,37.7,45.2,57.5,25.3,0.405106382978723,"Remain",46.2,34.6,28.7,34.2,20.2
"721",721,"L",5589,1397,11244,4303,42.2,79.6,63.6,23.5,8,26.1,5,2.5,3.2,62.6,50.2,42.8,12.4,0.249955269278941,"Remain",48.2,28.8,23.2,59.6,7.8
"723",723,"L",6122,2750,11402,4200,45.9,66.9,66.9,20.9,17.8,13.4,5.3,5,6.9,38.4,49.7,57.9,25.1,0.449199607971251,"Remain",37.5,36.7,36.6,28.9,20
"726",726,"WM",14476,6991,23457,9675,50.6,86.5,84.3,34.3,4.3,10.3,3.3,3.2,4.4,46.7,37.5,49.2,17.6,0.482937275490467,"Remain",31.5,48.4,18.5,36.3,17.7
"727",727,"EE",3184,1087,4406,1841,53.1,92.8,88.1,38.9,3.4,7.2,2,1.8,2.5,56.6,9.6,37,9.7,0.341394472361809,"Remain",26.5,52.9,8.8,48.5,12.5
"728",728,"L",7945,2785,12306,6137,41.8,61.9,33.4,8.1,35.3,29.1,5.7,6.6,8.8,40.7,55,60.5,26.7,0.350534927627439,"Remain",51.1,28,37.2,38.1,16.9
"730",730,"EE",3421,1580,4939,2148,48.3,95.3,75.2,28.6,9.3,14.9,2.4,2.5,3.2,45.9,12.8,44.3,15.4,0.461853259280912,"Remain",37.2,44.5,4.5,35.9,14.1
"731",731,"NW",8905,3499,14759,6009,51.3,81.3,83.5,33.5,6,9.1,4.5,3.1,4.5,47.9,23.2,49.2,18.3,0.39292532285233,"Remain",31,47.1,26.9,39.9,17.6
"732",732,"EE",2361,287,7180,1668,31.2,82.2,35.2,20.7,10.9,49.9,61.8,1.2,3.3,65.7,43.5,48.5,13.5,0.121558661584075,"Remain",76.9,16.7,18.4,44.3,2.8
"733",733,"L",5657,1163,14641,5950,41,47.2,25,8.4,37.3,33.9,11,7.7,11.3,26.8,110.3,75.1,40.8,0.205585999646456,"Remain",49.9,27.5,47,29.2,22.7
"737",737,"EE",3347,1641,11552,4804,42.6,91.7,36,13,42.4,19.4,12.1,5.9,8.9,24.1,31.7,61.8,30.6,0.490289811771736,"Remain",45.1,31.3,8.4,20.7,27.5
"739",739,"Y",7607,3068,11885,4974,52.3,98.1,86.1,36.9,4.9,7.6,2.4,1.7,2.3,53.9,7.7,39.8,11.7,0.403312738267385,"Remain",27.7,50.2,2,45.8,13
"742",742,"L",6260,1189,10829,4511,45.5,83.8,63.1,26.2,8.4,27,4.7,3.6,4.6,64.1,67.2,45.1,13.7,0.189936102236422,"Remain",42.6,37.6,14.3,62.8,8.3
"743",743,"L",4565,1230,10937,4839,36.6,59.6,24,13.5,29.7,42.9,36,3.1,5.6,58.6,109.9,70.7,24.2,0.269441401971522,"Remain",66.7,25.7,40.1,46.5,7.8
"744",744,"L",7527,3320,13489,5344,46.1,66.5,63.9,20.5,17.9,16.6,5.4,5.9,8.3,36.6,36.6,58.8,25,0.441078783047695,"Remain",38.7,38,36.1,31.3,19.4
"748",748,"EE",1786,828,2604,1176,52.5,96.9,75.7,30.3,13.5,9.4,2,2.9,3.9,48.1,5,48.8,17.7,0.463605823068309,"Remain",28.4,51.4,3.4,38.8,16.9
"750",750,"L",4446,1794,12753,4549,39.4,39,27.9,11.2,36.1,35,12.6,7.9,11.3,24.7,123.8,73.2,36.3,0.403508771929825,"Remain",52,24.6,70.1,28.6,19.3
"758",758,"WM",8499,2620,25993,8228,33,71.2,34.4,15.5,7.1,56.9,53.2,2.9,6.2,42.9,59.7,52.5,18.4,0.30827156136016,"Remain",69.5,19.7,35.6,29.2,10.3
"759",759,"WM",10306,3182,32550,9445,40.9,12.4,51,26.2,26.8,19.1,10.8,9.6,18.9,14.5,82.2,81.1,48.5,0.308752183194256,"Remain",42.1,23.5,122.7,15.8,36.9
"762",762,"SE",6313,2797,8157,3125,43.9,90.5,82.8,16.9,4.8,10.7,2.2,2.6,3.1,56.3,46.8,29.3,6,0.443054015523523,"Remain",39.7,32.1,12.7,42.3,7.4
"768",768,"SE",5970,2795,16703,7119,39.4,75.9,29,14,28.5,40.1,31.5,3.9,7,37.6,107.4,63.1,26.3,0.468174204355109,"Remain",55.1,29.3,23.5,28.6,15.9
"769",769,"L",7759,2180,13385,5510,43.5,72.9,58.3,21.4,9.4,30.4,5.9,3.8,4.9,55,93.6,47.9,19.2,0.280964041757959,"Remain",47.7,32.7,30.8,53.7,10.2
"771",771,"L",5540,2640,11712,3807,44.9,33.7,64.8,20.7,8.7,24.9,7.4,5.1,7.2,31,76.2,63.3,27.2,0.476534296028881,"Remain",38.8,35.1,85.4,28.9,17.3
"772",772,"EE",4206,1585,7388,2987,46,78.8,59.5,18.5,25.2,14.1,3.6,3.8,5,46.6,24.8,49.3,21.1,0.376842605801236,"Remain",41.7,34.4,22.3,41.6,18.5
"773",773,"EE",7010,3085,7175,3004,50,94.1,70.1,29.6,18.3,8.5,2.6,2.5,3.3,36.9,9.6,52.7,20.5,0.440085592011412,"Remain",33.3,47.6,6.6,28,21.6
"775",775,"L",7087,2605,13459,5371,47.3,76.2,72,27.7,5.3,21.4,5.3,3.8,5.1,49.4,50,49.4,19.3,0.367574432058699,"Remain",38.5,41,22.7,42.9,15.4
"780",780,"Y",6549,2605,23583,7520,34.7,25.4,48.6,28.1,14.1,34.5,31.1,7.5,14.4,15.1,52.6,79.3,40,0.39777065200794,"Remain",59.5,16.8,117.5,20.9,26.1
"785",785,"WM",3296,1384,6059,2873,43.2,90.7,59.2,21.2,8.5,31,7.1,4.5,5.8,41,60.8,52.3,21.5,0.419902912621359,"Remain",48.6,34.1,11.2,35.8,16.7
"790",790,"WM",7788,3062,34098,12095,37.5,27.1,29.8,12.2,46.1,20.6,23.3,9.6,17.7,17.7,33.2,79.7,43.3,0.393168977914741,"Remain",50.2,20.5,89.9,18.2,29.2
"797",797,"SE",9048,1837,18385,8645,35.9,86.3,35.3,11.1,10.2,51.8,24.3,3.7,5.2,49.7,132.1,57.8,23,0.203028293545535,"Remain",66.5,21.9,11.7,43.7,7.9
"798",798,"NW",4072,1771,12399,3682,42.1,24.1,64.1,34.1,19.9,12.8,8.1,7.1,13.1,15.1,69.5,77.5,43.3,0.43492141453831,"Remain",41.6,25.5,125.3,15.2,36.7
"802",802,"Y",7531,2986,12056,5565,50.1,97.1,75.6,31.3,8.3,14.3,2.7,4.2,5.8,47.6,1.2,51,20.5,0.396494489443633,"Remain",30.2,48.8,2.8,45,15.9
"803",803,"L",5222,2089,13249,4884,41.7,48.1,39.6,9.8,33.6,23.8,8.1,7.3,10.7,25.9,42.1,70.6,35.5,0.400038299502106,"Remain",45.2,27.7,57.5,24.7,23.7
